Gene Symbol,Chronic Module,Escape Module,Resolver Module,Intramodular Connectivity – Chronic,Intramodular Connectivity – Escape,Intramodular Connectivity – Resolver
CCT8,c10,e9,r9,0.481,0.489,0.198
CD14,c7,e7,r8,0.469,0.290,0.476
CD160,c3,e9,r9,0.423,0.492,0.339
CD2,c1,e1,r9,0.487,0.765,0.824
CD226,c1,e9,r9,0.303,0.439,0.761
CD244,c8,e9,r9,0.794,0.492,0.306
CD27,c8,e9,r2,0.739,0.577,0.513
CD2AP,c10,e1,r3,0.233,0.278,0.570
CD2BP2,c3,e9,r9,0.524,0.434,0.160
CD300A,c7,e9,r9,0.545,0.401,0.176
CD37,c10,e9,r5,0.417,0.519,0.270
CD38,c5,e9,r9,0.510,0.345,0.238
CD3D,c10,e9,r2,0.652,0.407,0.570
CD3E,c9,e2,r3,0.975,0.375,0.297
CD3G,c6,e9,r9,0.845,0.472,0.583
CD4,c7,e9,r3,0.462,0.514,0.195
CD46,c1,e9,r3,0.499,0.330,0.313
CD48,c8,e2,r9,0.580,0.251,0.287
CD5,c10,e2,r9,0.466,0.772,0.074
CD52,c8,e2,r2,0.749,0.537,0.841
CD53,c1,e9,r2,0.677,0.362,0.680
CD55,c2,e9,r5,0.735,0.582,0.536
CD58,c10,e2,r9,0.321,0.498,0.323
CD6,c10,e2,r9,0.347,0.720,0.157
CD63,c8,e7,r2,0.649,0.324,0.376
CD69,c1,e5,r5,0.762,0.621,0.459
CD74,c8,e9,r9,0.781,0.432,0.270
CD79A,c10,e9,r3,0.187,0.322,0.189
CD81,c6,e9,r9,0.529,0.482,0.157
CD83,c1,e8,r5,0.397,0.434,0.634
CD84,c10,e1,r1,0.345,0.229,0.667
CD8B,c10,e2,r2,0.403,0.224,0.506
CD96,c3,e6,r9,0.395,0.333,0.454
CDC123,c6,e9,r9,0.454,0.583,0.290
CDC14A,c1,e2,r3,0.422,0.162,0.334
CDC16,c10,e9,r2,0.297,0.431,0.571
CDC20,c10,e3,r7,0.641,0.434,0.283
CDC25B,c8,e2,r2,0.522,0.354,0.866
CDC37L1,c3,e9,r3,0.718,0.346,0.391
CDC40,c10,e9,r3,0.224,0.277,0.562
CDC42,c1,e9,r9,0.376,0.390,0.383
CDC5L,c1,e9,r3,0.304,0.306,0.439
CDCA4,c3,e2,r7,0.504,0.551,0.081
CDIPT,c1,e9,r9,0.438,0.477,0.477
CDK13,c10,e5,r9,0.284,0.390,0.341
CDK16,c1,e9,r5,0.526,0.454,0.328
CDK17,c2,e2,r5,0.364,0.954,0.405
CDK2AP1,c10,e9,r2,0.365,0.310,0.434
CDK2AP2,c10,e9,r9,0.489,0.526,0.263
CDK4,c10,e6,r9,0.830,0.318,0.389
CDK5,c6,e9,r9,0.692,0.389,0.320
CDK5RAP1,c8,e5,r9,0.129,0.364,0.192
CDK5RAP3,c10,e9,r3,0.266,0.414,0.408
CDK6,c10,e9,r9,0.189,0.551,0.160
CDK8,c10,e9,r9,0.248,0.452,0.422
CDK9,c1,e9,r9,0.362,0.406,0.220
CDKL1,c10,e9,r9,0.327,0.425,0.334
CDKN1A,c10,e2,r8,0.259,0.199,0.696
CDKN1B,c10,e9,r9,0.427,0.480,0.438
CDKN2AIP,c2,e5,r9,0.590,0.602,0.120
CDKN3,c10,e9,r9,0.557,0.395,0.222
CDR2,c3,e9,r9,0.364,0.532,0.269
CDYL,c10,e9,r9,0.207,0.408,0.461
CEBPB,c10,e9,r5,0.450,0.441,0.104
CEBPD,c7,e9,r8,0.434,0.358,0.788
CEBPZ,c1,e4,r3,0.612,0.388,0.523
CECR1,c8,e2,r2,0.571,0.522,0.686
CELF2,c10,e9,r2,0.192,0.601,0.726
CENPC,c2,e9,r3,0.468,0.385,0.620
CENPM,c10,e5,r6,0.518,0.285,0.346
CENPN,c10,e9,r3,0.495,0.365,0.268
CEP104,c10,e9,r9,0.288,0.467,0.379
CEP135,c2,e9,r3,0.327,0.453,0.357
CEP192,c10,e9,r9,0.252,0.551,0.382
CEP350,c8,e2,r4,0.137,0.216,0.657
CEP57,c3,e9,r3,0.528,0.325,0.680
CEP63,c2,e5,r9,0.162,0.435,0.247
CEP97,c3,e9,r3,0.546,0.339,0.451
CEPT1,c3,e9,r9,0.514,0.330,0.456
CERS2,c10,e9,r9,0.533,0.362,0.615
CES2,c3,e2,r6,0.348,0.271,0.291
CETN2,c10,e6,r2,0.213,0.674,0.534
CETN3,c5,e9,r9,0.487,0.307,0.580
CFAP20,c3,e9,r5,0.497,0.335,0.194
CFD,c1,e8,r3,0.212,0.384,0.221
CFDP1,c1,e9,r2,0.310,0.393,0.552
CFLAR,c10,e9,r9,0.221,0.362,0.463
CGGBP1,c10,e9,r9,0.218,0.484,0.254
CGRRF1,c9,e9,r5,0.570,0.353,0.352
CHCHD2,c3,e9,r3,0.633,0.373,0.123
CHCHD3,c9,e6,r9,0.452,0.545,0.325
CHCHD7,c2,e2,r9,0.395,0.343,0.255
CHD1,c1,e9,r5,0.399,0.407,0.359
CHD1L,c10,e2,r9,0.190,0.256,0.304
CHD3,c5,e9,r9,0.494,0.444,0.137
CHD7,c10,e9,r6,0.207,0.435,0.279
CHFR,c3,e9,r9,0.273,0.473,0.341
CHI3L2,c5,e6,r9,0.416,0.424,0.314
CHMP1B,c1,e9,r5,0.459,0.481,0.468
CHMP2A,c5,e9,r9,0.594,0.493,0.384
CHMP2B,c1,e9,r5,0.382,0.404,0.334
CHMP4A,c1,e6,r2,0.289,0.457,0.441
CHMP5,c3,e9,r2,0.653,0.505,0.630
CHORDC1,c1,e9,r3,0.351,0.478,0.372
CHP1,c5,e9,r1,0.442,0.308,0.469
CHPF2,c3,e9,r9,0.517,0.458,0.185
CHTOP,c4,e2,r9,0.791,0.458,0.462
CHUK,c3,e9,r3,0.735,0.452,0.408
CIAO1,c10,e1,r9,0.298,0.686,0.415
CIAPIN1,c10,e9,r3,0.580,0.386,0.335
CIB1,c10,e5,r7,0.289,0.667,0.184
CIC,c2,e9,r3,0.311,0.435,0.142
CIDEB,c1,e9,r9,0.207,0.531,0.308
CIR1,c1,e9,r3,0.559,0.383,0.365
CIRBP,c2,e5,r9,0.426,0.445,0.157
CISD1,c5,e9,r9,0.562,0.405,0.300
CKAP2,c10,e2,r9,0.260,0.628,0.184
CKAP5,c3,e9,r3,0.398,0.616,0.294
CKLF,c9,e1,r2,0.699,0.218,0.607
CKS2,c10,e5,r5,0.417,0.442,0.292
CLASP1,c1,e2,r9,0.308,0.315,0.238
CLCN6,c2,e9,r3,0.284,0.312,0.187
CLDN6,c10,e9,r3,0.256,0.430,0.193
CLDND1,c10,e9,r9,0.384,0.401,0.307
CLEC2B,c8,e9,r9,0.460,0.423,0.480
CLEC2D,c4,e1,r9,0.755,0.524,0.476
CLIC1,c10,e2,r9,0.824,0.358,0.421
CLINT1,c10,e9,r9,0.226,0.376,0.293
CLIP1,c10,e9,r9,0.331,0.520,0.434
CLK1,c1,e5,r5,0.527,0.801,0.704
CLK2,c4,e9,r1,0.404,0.557,0.402
CLK4,c2,e9,r9,0.529,0.411,0.160
CLPP,c10,e9,r9,0.541,0.467,0.219
CLSTN1,c10,e9,r9,0.262,0.553,0.215
CLTA,c5,e9,r9,0.414,0.325,0.494
CLTB,c10,e9,r9,0.261,0.557,0.129
CLTC,c3,e9,r9,0.855,0.406,0.279
CLUH,c3,e9,r3,0.342,0.356,0.142
CLUHP3,c10,e9,r5,0.266,0.477,0.189
CMAS,c6,e9,r9,0.958,0.406,0.437
CMC2,c10,e9,r5,0.288,0.482,0.301
CMC4,c10,e9,r3,0.219,0.346,0.358
CMPK1,c10,e9,r9,0.249,0.499,0.485
CMTM6,c10,e2,r9,0.347,0.276,0.425
CNDP2,c5,e8,r9,0.634,0.628,0.346
CNIH1,c3,e9,r9,0.589,0.344,0.289
CNIH4,c3,e4,r8,0.483,0.537,0.235
CNOT1,c10,e9,r4,0.273,0.399,0.613
CNOT4,c10,e2,r3,0.247,0.560,0.422
CNOT6,c1,e2,r9,0.223,0.412,0.185
CNOT8,c10,e1,r3,0.497,0.568,0.399
CNP,c6,e9,r2,0.924,0.381,0.530
CNPPD1,c5,e9,r9,0.532,0.397,0.230
CNPY3,c10,e9,r9,0.288,0.584,0.232
CNTRL,c2,e9,r3,0.282,0.343,0.488
COA3,c10,e9,r2,0.391,0.519,0.507
COA4,c3,e1,r9,0.352,0.429,0.435
COASY,c10,e9,r2,0.442,0.543,0.583
COG2,c10,e2,r3,0.255,0.463,0.280
COG5,c1,e9,r3,0.230,0.299,0.374
COL4A3BP,c10,e1,r3,0.268,0.688,0.422
COMMD3,c10,e9,r2,0.391,0.455,0.515
COMMD4,c10,e9,r7,0.397,0.467,0.370
COMMD8,c10,e6,r2,0.457,0.402,0.440
COPA,c10,e3,r5,0.299,0.618,0.200
COPB1,c2,e5,r3,0.428,0.267,0.334
COPB2,c1,e1,r9,0.426,0.768,0.398
COPE,c10,e5,r6,0.314,0.283,0.349
COPG1,c3,e9,r9,0.811,0.358,0.140
COPS2,c1,e5,r5,0.320,0.786,0.308
COPS3,c10,e9,r3,0.421,0.371,0.269
COPS5,c3,e1,r9,0.487,0.537,0.350
COPS7A,c1,e2,r9,0.241,0.261,0.438
COPS8,c2,e5,r3,0.235,0.210,0.699
COPZ1,c10,e9,r9,0.287,0.457,0.485
COPZ2,c3,e2,r9,0.427,0.294,0.285
COQ10B,c9,e9,r5,0.634,0.499,0.449
COQ2,c10,e1,r9,0.364,0.472,0.335
COQ4,c10,e9,r4,0.288,0.408,0.358
COQ9,c10,e9,r4,0.291,0.423,0.473
CORO1A,c6,e2,r9,0.975,0.334,0.371
CORO1C,c10,e9,r9,0.499,0.586,0.271
COTL1,c8,e8,r9,0.602,0.646,0.466
COX15,c6,e9,r9,0.652,0.369,0.510
COX5A,c3,e1,r9,0.711,0.502,0.340
COX5B,c10,e9,r9,0.549,0.381,0.636
COX6C,c10,e2,r3,0.277,0.235,0.238
COX7A2,c10,e9,r9,0.564,0.463,0.521
COX7A2L,c6,e9,r2,0.983,0.409,0.622
COX7B,c10,e9,r9,0.665,0.446,0.420
COX7C,c3,e9,r9,0.640,0.461,0.358
COX8A,c8,e9,r7,0.423,0.352,0.269
CPD,c3,e9,r9,0.358,0.672,0.229
CPNE1,c10,e9,r6,0.319,0.515,0.329
CPNE3,c1,e6,r9,0.499,0.438,0.755
CPSF4,c10,e9,r9,0.222,0.388,0.374
CPSF6,c10,e1,r3,0.370,0.753,0.505
CPT1A,c8,e9,r9,0.315,0.500,0.276
CRABP2,c1,e7,r3,0.320,0.165,0.204
CRADD,c10,e5,r9,0.360,0.382,0.269
CRBN,c2,e2,r9,0.496,0.524,0.181
CREB1,c7,e9,r2,0.186,0.385,0.585
CREBL2,c1,e9,r9,0.472,0.507,0.409
CREG1,c10,e9,r8,0.286,0.484,0.251
CRELD1,c10,e9,r9,0.162,0.504,0.157
CRELD2,c10,e9,r2,0.352,0.380,0.472
CREM,c8,e2,r5,0.155,0.913,0.582
CRIP1,c10,e2,r9,0.687,0.192,0.286
CRK,c3,e3,r6,0.668,0.776,0.422
CRLF3,c3,e9,r9,0.652,0.300,0.615
CROCC,c1,e9,r8,0.416,0.471,0.360
CROCCP2,c1,e9,r2,0.287,0.551,0.501
CROT,c1,e9,r2,0.306,0.416,0.527
CRTAM,c10,e5,r5,0.474,0.478,0.168
CRTC3,c2,e7,r9,0.517,0.357,0.420
CRY1,c1,e2,r5,0.286,0.506,0.341
CRYBB2P1,c10,e9,r7,0.229,0.343,0.430
CRYBG3,c1,e9,r9,0.210,0.441,0.389
CRYL1,c10,e9,r9,0.219,0.550,0.272
CRYZL1,c1,e9,r9,0.222,0.481,0.447
CSE1L,c2,e9,r3,0.314,0.532,0.424
CSGALNACT2,c2,e9,r3,0.695,0.537,0.559
CSK,c10,e8,r2,0.529,0.973,0.622
CSNK1A1,c3,e3,r9,0.551,0.373,0.227
CSNK1D,c1,e9,r6,0.348,0.348,0.539
CSNK1G1,c10,e9,r9,0.272,0.517,0.163
CSNK1G3,c10,e9,r1,0.256,0.409,0.645
CSNK2A1,c7,e9,r9,0.188,0.622,0.283
CSNK2B,c10,e4,r6,0.327,0.500,0.498
CST3,c7,e7,r8,0.788,0.659,0.745
CST7,c5,e9,r1,0.369,0.468,0.389
CSTA,c7,e9,r8,0.787,0.332,0.348
CSTB,c10,e2,r7,0.338,0.344,0.214
CSTF1,c3,e9,r9,0.614,0.476,0.340
CTBP1,c10,e8,r9,0.292,0.499,0.355
CTC1,c10,e9,r4,0.219,0.349,0.500
CTCF,c2,e9,r9,0.239,0.476,0.265
CTDNEP1,c10,e9,r7,0.476,0.501,0.126
CTDP1,c10,e9,r6,0.202,0.463,0.611
CTDSP1,c10,e8,r2,0.512,0.375,0.674
CTLA4,c5,e9,r9,0.428,0.473,0.781
CTNNA1,c7,e7,r7,0.282,0.404,0.294
CTNNAL1,c10,e2,r6,0.311,0.435,0.345
CTR9,c3,e5,r9,0.576,0.446,0.305
CTSA,c6,e7,r7,0.448,0.633,0.510
CTSB,c10,e9,r9,0.655,0.428,0.325
CTSC,c3,e9,r2,0.406,0.460,0.529
CTSD,c10,e9,r9,0.368,0.561,0.136
CTSF,c1,e2,r5,0.388,0.333,0.305
CTSH,c10,e9,r8,0.397,0.332,0.519
CTSK,c10,e9,r9,0.205,0.438,0.411
CTSL,c1,e9,r3,0.191,0.323,0.218
CTSS,c7,e7,r8,0.881,0.595,0.419
CTSW,c9,e9,r7,0.613,0.331,0.286
CUL2,c10,e9,r3,0.262,0.543,0.471
CUL4A,c2,e9,r9,0.143,0.554,0.785
CUL4B,c10,e9,r1,0.234,0.418,0.671
CUL5,c2,e2,r3,0.444,0.626,0.473
CUTA,c5,e2,r9,0.333,0.267,0.302
CUTC,c10,e9,r9,0.371,0.509,0.401
CWF19L1,c10,e9,r6,0.238,0.324,0.542
CX3CR1,c3,e2,r9,0.553,0.261,0.435
CXCL2,c7,e7,r8,0.797,0.516,0.822
CXCL8,c7,e7,r8,0.914,0.749,0.890
CXCR3,c10,e9,r3,0.303,0.700,0.176
CXCR4,c8,e9,r5,0.097,0.553,0.891
CXCR6,c1,e9,r9,0.352,0.375,0.273
CXorf56,c10,e9,r9,0.286,0.513,0.128
CYB561,c10,e2,r9,0.192,0.393,0.267
CYB561D2,c5,e9,r9,0.516,0.748,0.381
CYB5A,c6,e5,r9,0.674,0.233,0.432
CYB5B,c10,e9,r9,0.427,0.422,0.291
CYB5R3,c6,e9,r9,0.684,0.451,0.193
CYB5R4,c3,e9,r9,0.324,0.368,0.441
CYBA,c10,e9,r7,0.272,0.561,0.451
CYBB,c7,e7,r8,0.769,0.529,0.617
CYCS,c8,e9,r5,0.527,0.538,0.637
CYFIP2,c9,e2,r9,0.832,0.390,0.438
CYLD,c10,e9,r3,0.199,0.491,0.503
CYP2A6,c10,e9,r3,0.175,0.358,0.226
CYP4A22,c1,e9,r6,0.287,0.615,0.337
CYP51A1,c1,e9,r5,0.406,0.445,0.324
CYTH1,c1,e9,r5,0.391,0.479,0.273
CYTH2,c3,e9,r9,0.378,0.504,0.199
CYTIP,c10,e1,r3,0.270,1.000,0.294
DAD1,c10,e2,r9,0.398,0.301,0.360
DAP,c8,e9,r6,0.423,0.426,0.245
DAP3,c10,e9,r8,0.448,0.529,0.318
DAPK2,c5,e9,r9,0.458,0.707,0.220
DARS,c10,e9,r9,0.473,0.597,0.438
DARS2,c10,e3,r1,0.213,0.619,0.337
DAXX,c4,e9,r9,0.418,0.383,0.423
DBF4,c10,e9,r3,0.317,0.498,0.452
DBI,c8,e9,r2,0.386,0.511,0.714
DBR1,c2,e5,r5,0.405,0.359,0.177
DCAF11,c10,e9,r9,0.661,0.349,0.399
DCAF16,c10,e9,r9,0.252,0.505,0.228
DCAF6,c3,e8,r9,0.470,0.458,0.413
DCAF8,c4,e9,r9,0.574,0.346,0.485
DCK,c3,e1,r9,0.425,0.411,0.742
DCLRE1C,c10,e9,r9,0.305,0.455,0.382
DCP1A,c1,e9,r5,0.257,0.431,0.247
DCP2,c3,e5,r9,0.538,0.225,0.579
DCPS,c1,e9,r9,0.255,0.568,0.333
DCTD,c10,e9,r9,0.362,0.458,0.209
DCTN2,c3,e9,r9,0.338,0.411,0.670
DCTN3,c5,e4,r9,0.428,0.343,0.389
DCTN5,c1,e9,r9,0.156,0.468,0.253
DCTN6,c2,e2,r5,0.470,0.316,0.258
DCTPP1,c5,e9,r9,0.558,0.503,0.481
DCUN1D2,c10,e2,r1,0.215,0.296,0.444
DCXR,c10,e9,r9,0.348,0.393,0.203
DDA1,c10,e5,r6,0.281,0.691,0.330
DDB2,c3,e9,r3,0.419,0.380,0.512
DDHD2,c10,e1,r9,0.259,0.473,0.514
DDIT3,c1,e5,r5,0.533,0.807,0.464
DDIT4,c7,e2,r5,0.272,0.346,0.446
DDOST,c10,e2,r9,0.328,0.215,0.334
DDRGK1,c3,e9,r9,0.523,0.287,0.275
DDT,c1,e2,r1,0.408,0.318,0.558
DDX1,c2,e9,r9,0.448,0.366,0.356
DDX10,c10,e9,r3,0.258,0.409,0.351
DDX11,c3,e5,r9,0.389,0.260,0.147
DDX17,c1,e9,r9,0.402,0.505,0.589
DDX18,c1,e9,r4,0.280,0.422,0.692
DDX21,c1,e9,r5,0.713,0.478,0.520
DDX27,c3,e3,r5,0.369,0.544,0.383
DDX39A,c10,e9,r5,0.202,0.619,0.223
DDX3Y,c1,e9,r9,0.566,0.268,0.140
DDX41,c10,e9,r9,0.235,0.425,0.291
DDX42,c3,e9,r5,0.486,0.505,0.141
DDX46,c10,e9,r3,0.220,0.446,0.447
DDX47,c10,e3,r5,0.268,0.739,0.563
DDX49,c10,e9,r5,0.397,0.457,0.169
DDX50,c3,e2,r3,0.483,0.490,0.285
DDX54,c10,e9,r8,0.401,0.444,0.241
DDX56,c2,e9,r6,0.396,0.413,0.344
DDX58,c1,e2,r9,0.311,0.194,0.525
DDX6,c1,e9,r5,0.301,0.384,0.306
DDX60,c4,e8,r9,0.585,0.592,0.694
DECR1,c3,e9,r2,0.384,0.393,0.545
DECR2,c3,e9,r3,0.250,0.373,0.150
DEDD,c10,e9,r5,0.246,0.527,0.234
DEGS1,c3,e9,r9,0.489,0.379,0.543
DEK,c10,e9,r3,0.423,0.462,0.437
DENND1B,c3,e8,r9,0.537,0.344,0.477
DENND2D,c1,e9,r2,0.464,0.433,0.574
DENND3,c8,e9,r6,0.097,0.815,0.459
DENND4B,c10,e9,r9,0.268,0.601,0.275
DENND4C,c10,e5,r3,0.296,0.418,0.287
DENND5A,c10,e9,r2,0.234,0.410,0.347
DENR,c1,e9,r9,0.370,0.435,0.418
DEPDC5,c3,e9,r9,0.417,0.546,0.122
DERA,c10,e9,r9,0.291,0.423,0.729
DERL1,c10,e2,r9,0.245,0.693,0.264
DERL2,c3,e5,r6,0.479,0.464,0.281
DESI1,c7,e9,r2,0.271,0.773,0.439
DESI2,c10,e9,r9,0.437,0.394,0.578
DEXI,c1,e8,r2,0.258,0.378,0.432
DFFA,c10,e9,r9,0.387,0.474,0.259
DGCR14,c10,e9,r3,0.203,0.488,0.109
DGKA,c1,e9,r9,0.404,0.639,0.284
DGKD,c10,e9,r5,0.199,0.493,0.271
DGKZ,c10,e9,r9,0.366,0.489,0.523
DGUOK,c1,e9,r2,0.571,0.371,0.587
DHCR7,c8,e9,r3,0.120,0.336,0.147
DHPS,c8,e9,r9,0.432,0.404,0.388
DHRS1,c10,e9,r1,0.327,0.518,0.517
DHRS3,c10,e7,r8,0.228,0.331,0.186
DHRS7,c1,e3,r9,0.233,0.338,0.463
DHX15,c2,e9,r3,0.560,0.399,0.315
DHX29,c3,e9,r3,0.519,0.374,0.371
DHX35,c10,e2,r3,0.237,0.247,0.322
DHX40,c2,e9,r3,0.402,0.430,0.332
DHX8,c10,e5,r5,0.396,0.332,0.177
DIABLO,c10,e5,r9,0.268,0.737,0.334
DIAPH2,c9,e9,r5,0.673,0.498,0.390
DICER1,c4,e9,r9,0.896,0.464,0.805
DIMT1,c10,e1,r3,0.217,0.340,0.715
DKC1,c10,e9,r4,0.384,0.445,0.492
DKFZP586I1420,c10,e6,r9,0.349,0.257,0.245
DLEU1,c3,e9,r9,0.648,0.425,0.305
DLG1,c1,e9,r3,0.435,0.440,0.467
DLG3,c8,e9,r2,0.520,0.468,0.597
DLG4,c10,e9,r3,0.201,0.460,0.254
DLG5,c2,e2,r6,0.216,0.485,0.315
DLST,c10,e3,r9,0.257,0.663,0.228
DMTF1,c2,e9,r3,0.307,0.473,0.414
DMTN,c10,e2,r9,0.199,0.458,0.079
DMXL1,c1,e9,r9,0.223,0.467,0.672
DNAAF2,c10,e9,r9,0.245,0.503,0.252
DNAJA1,c1,e9,r5,1.000,0.548,0.767
DNAJA3,c10,e6,r9,0.376,1.000,0.136
DNAJB1,c10,e2,r5,0.296,0.342,0.387
DNAJB14,c2,e2,r3,0.335,0.204,0.508
DNAJB6,c1,e9,r9,0.358,0.441,0.452
DNAJB9,c10,e9,r5,0.184,0.564,0.383
DNAJC1,c1,e9,r9,0.319,0.427,0.467
DNAJC10,c1,e7,r9,0.355,0.650,0.509
DNAJC13,c3,e9,r9,0.511,0.635,0.690
DNAJC17,c10,e9,r9,0.248,0.636,0.337
DNAJC2,c1,e3,r3,0.638,0.580,0.502
DNAJC3,c1,e4,r5,0.487,0.519,0.295
DNAJC7,c3,e9,r6,0.318,0.745,0.437
DNAJC9,c10,e1,r9,0.334,0.650,0.288
DNASE1L1,c10,e9,r9,0.400,0.380,0.255
DNM1L,c2,e2,r7,0.322,0.315,0.122
DNMT1,c1,e9,r9,0.274,0.517,0.534
DNMT3A,c10,e9,r9,0.321,0.415,0.314
DNPEP,c10,e5,r9,0.275,0.448,0.320
DNTTIP2,c2,e9,r5,0.377,0.419,0.381
DOCK10,c10,e2,r3,0.163,0.376,0.425
DOCK2,c8,e9,r9,0.489,0.461,0.641
DOCK9,c10,e9,r9,0.203,0.519,0.320
DOHH,c10,e9,r3,0.402,0.835,0.115
DOK2,c10,e9,r1,0.367,0.539,0.478
DPAGT1,c10,e8,r9,0.383,0.531,0.489
DPEP2,c9,e9,r5,0.606,0.441,0.274
DPEP3,c10,e9,r3,0.256,0.513,0.140
DPF2,c3,e3,r7,0.279,0.608,0.455
DPH5,c3,e9,r9,0.547,0.309,0.308
DPM1,c10,e5,r5,0.292,0.347,0.219
DPM2,c8,e9,r7,0.125,0.525,0.296
DPM3,c10,e9,r7,0.425,0.512,0.385
DPP3,c3,e9,r9,0.360,0.354,0.337
DPY19L1,c10,e9,r3,0.238,0.508,0.360
DPYSL2,c9,e2,r2,0.538,0.472,0.567
DR1,c10,e9,r1,0.222,0.465,0.376
DRC3,c1,e9,r3,0.196,0.368,0.113
DRG1,c10,e2,r9,0.304,0.780,0.263
DROSHA,c3,e9,r9,0.349,0.453,0.709
DSCR3,c10,e7,r9,0.329,0.616,0.317
DSTN,c5,e5,r9,0.438,0.329,0.410
DSTNP2,c10,e9,r7,0.304,0.412,0.422
DUSP10,c1,e5,r5,0.396,0.356,0.524
DUSP12,c10,e9,r9,0.354,0.370,0.384
DUSP14,c10,e6,r9,0.182,0.326,0.217
DUSP2,c9,e8,r5,0.818,0.752,0.523
DUSP4,c10,e2,r6,0.391,0.791,0.754
DUSP5,c10,e9,r5,0.331,0.533,0.379
DUSP6,c7,e9,r8,0.311,0.328,0.616
DUSP8,c1,e9,r5,0.466,0.369,0.260
DUT,c5,e9,r9,0.418,0.543,0.865
DVL2,c10,e8,r9,0.240,0.292,0.099
DXO,c1,e9,r1,0.496,0.411,0.571
DYNC1H1,c10,e2,r6,0.398,0.339,0.367
DYNC1LI2,c10,e3,r6,0.214,0.762,0.360
DYNLL1,c10,e9,r9,0.352,0.484,0.611
DYNLRB1,c10,e2,r9,0.426,0.216,0.372
DYNLT1,c10,e2,r7,0.459,0.252,0.533
DYNLT3,c2,e5,r9,0.620,0.217,0.420
DYRK1A,c1,e9,r5,0.505,0.402,0.395
DYRK2,c3,e9,r9,0.719,0.722,0.366
DZIP3,c10,e9,r2,0.333,0.497,0.694
E2F3,c1,e9,r2,0.378,0.467,0.410
EAPP,c5,e9,r9,0.329,0.421,0.314
EBAG9,c10,e9,r9,0.315,0.354,0.338
EBP,c10,e9,r5,0.433,0.451,0.213
ECD,c10,e9,r5,0.238,0.423,0.400
ECH1,c10,e9,r9,0.400,0.374,0.446
ECHDC1,c10,e9,r9,0.217,0.432,0.346
ECHS1,c9,e9,r7,0.335,0.525,0.232
ECI1,c10,e9,r7,0.414,0.324,0.168
ECI2,c1,e9,r9,0.400,0.381,0.643
ECSIT,c10,e9,r7,0.394,0.419,0.461
EDC3,c10,e9,r7,0.310,0.342,0.243
EDEM1,c1,e9,r3,0.177,0.378,0.527
EDEM2,c10,e9,r9,0.420,0.417,0.371
EDEM3,c1,e9,r2,0.350,0.363,0.424
EDRF1,c10,e9,r3,0.269,0.322,0.358
EED,c3,e2,r9,0.517,0.345,0.327
EFCAB14,c1,e9,r9,0.375,0.444,0.768
EFHD2,c7,e2,r9,0.249,0.292,0.128
EFL1,c10,e9,r9,0.372,0.392,0.364
EFNA4,c10,e2,r7,0.205,0.456,0.176
EFR3A,c10,e5,r3,0.230,0.500,0.596
EGOT,c1,e9,r9,0.311,0.718,0.153
EGR1,c1,e9,r5,0.636,0.662,0.701
EGR2,c10,e5,r5,0.365,0.426,0.274
EHBP1,c1,e9,r3,0.329,0.438,0.361
EHBP1L1,c10,e2,r9,0.160,0.457,0.069
EHD1,c10,e9,r9,0.345,0.437,0.159
EI24,c10,e9,r3,0.704,0.403,0.275
EIF1,c1,e2,r5,0.981,0.181,0.813
EIF1B,c10,e4,r3,0.335,0.787,0.228
EIF2AK1,c10,e9,r3,0.437,0.440,0.245
EIF2AK2,c7,e9,r9,0.243,0.417,0.826
EIF2AK3,c1,e9,r3,0.430,0.374,0.451
EIF2B2,c5,e5,r9,0.474,0.303,0.478
EIF2D,c10,e2,r9,0.295,0.458,0.199
EIF2S1,c3,e3,r2,0.517,0.851,0.523
EIF3A,c1,e3,r5,0.720,0.280,0.502
EIF3B,c3,e2,r9,0.319,0.344,0.483
EIF3D,c5,e9,r9,0.311,0.403,0.294
EIF3G,c10,e2,r7,0.746,0.294,0.574
EIF3I,c8,e2,r7,0.368,0.365,0.272
EIF3J,c2,e9,r9,0.306,0.498,0.499
EIF4A3,c10,e9,r5,0.294,0.489,0.401
EIF4E2,c3,e6,r3,0.783,0.582,0.285
EIF4EBP1,c1,e2,r3,0.218,0.496,0.097
EIF4EBP2,c7,e9,r9,0.322,0.363,0.387
EIF4ENIF1,c2,e9,r9,0.387,0.437,0.371
EIF4G1,c10,e9,r9,0.182,0.466,0.222
EIF4G3,c10,e9,r9,0.297,0.469,0.459
EIF5,c1,e9,r5,0.478,0.532,0.671
EIF5A,c10,e4,r7,0.334,0.403,0.505
EIF5B,c2,e2,r3,0.735,0.679,0.785
EIF6,c5,e2,r9,0.368,0.526,0.255
ELAVL1,c10,e9,r9,0.537,0.406,0.407
ELF2,c1,e9,r3,0.292,0.515,0.396
ELF4,c3,e9,r2,0.528,0.327,0.504
ELK3,c1,e9,r3,0.232,0.554,0.368
ELL2,c1,e9,r5,0.476,0.538,0.415
ELMO1,c9,e7,r9,0.648,0.649,0.487
ELMO2,c2,e9,r9,0.453,0.442,0.263
ELOVL1,c3,e9,r7,0.531,0.519,0.252
ELOVL5,c10,e9,r3,0.343,0.574,0.355
ELP3,c10,e3,r9,0.333,0.614,0.334
EMC6,c10,e9,r7,0.593,0.345,0.193
EMC8,c2,e9,r9,0.350,0.396,0.261
EMC9,c1,e9,r9,0.404,0.346,0.225
