Gene,Set,Signature Type
BASP1,progressor_vs_controller_pepstim_up,HIV signature
IL7R,progressor_vs_controller_pepstim_up,HIV signature
CD74,progressor_vs_controller_pepstim_up,HIV signature
OTUD1,progressor_vs_controller_pepstim_up,HIV signature
WHAMML1,progressor_vs_controller_pepstim_up,HIV signature
PSMF1,progressor_vs_controller_pepstim_up,HIV signature
NR4A3,progressor_vs_controller_pepstim_up,HIV signature
IKZF2,progressor_vs_controller_pepstim_up,HIV signature
CD44,progressor_vs_controller_pepstim_up,HIV signature
GABBR1,progressor_vs_controller_pepstim_up,HIV signature
ALDH2,progressor_vs_controller_pepstim_up,HIV signature
PIK3IP1,progressor_vs_controller_pepstim_up,HIV signature
CRIM1,progressor_vs_controller_pepstim_up,HIV signature
KIAA0355,progressor_vs_controller_pepstim_up,HIV signature
LAT2,progressor_vs_controller_pepstim_up,HIV signature
ASCL2,progressor_vs_controller_pepstim_up,HIV signature
TPM2,progressor_vs_controller_pepstim_up,HIV signature
WTAP,progressor_vs_controller_pepstim_up,HIV signature
HLA-DQA1,progressor_vs_controller_pepstim_up,HIV signature
SYNE2,progressor_vs_controller_pepstim_up,HIV signature
IL7R,progressor_vs_controller_pepstim_up,HIV signature
FYB,progressor_vs_controller_pepstim_up,HIV signature
NME4,progressor_vs_controller_pepstim_up,HIV signature
MXI1,progressor_vs_controller_pepstim_up,HIV signature
FTHL7,progressor_vs_controller_pepstim_up,HIV signature
prim,progressor_vs_controller_pepstim_up,HIV signature
PLEKHF2,progressor_vs_controller_pepstim_up,HIV signature
AKAP13,progressor_vs_controller_pepstim_up,HIV signature
TPP1,progressor_vs_controller_pepstim_up,HIV signature
UBAC2,progressor_vs_controller_pepstim_up,HIV signature
SH3BP2,progressor_vs_controller_pepstim_up,HIV signature
SIDT2,progressor_vs_controller_pepstim_up,HIV signature
USP36,progressor_vs_controller_pepstim_up,HIV signature
LAT2,progressor_vs_controller_pepstim_up,HIV signature
CDKN1A,progressor_vs_controller_pepstim_up,HIV signature
PZP,progressor_vs_controller_pepstim_up,HIV signature
TRIB2,progressor_vs_controller_pepstim_up,HIV signature
LOC390557,progressor_vs_controller_pepstim_up,HIV signature
TLR6,progressor_vs_controller_pepstim_up,HIV signature
PSAP,progressor_vs_controller_pepstim_up,HIV signature
GLS,progressor_vs_controller_pepstim_up,HIV signature
ZNF629,progressor_vs_controller_pepstim_up,HIV signature
CASP8,progressor_vs_controller_pepstim_up,HIV signature
EGR1,progressor_vs_controller_pepstim_up,HIV signature
APP,progressor_vs_controller_pepstim_up,HIV signature
PDLIM5,progressor_vs_controller_pepstim_up,HIV signature
WTAP,progressor_vs_controller_pepstim_up,HIV signature
THRA,progressor_vs_controller_pepstim_up,HIV signature
NBPF10,progressor_vs_controller_pepstim_up,HIV signature
LRRC37B,progressor_vs_controller_pepstim_up,HIV signature
DPEP2,progressor_vs_controller_pepstim_up,HIV signature
DTX3L,progressor_vs_controller_pepstim_up,HIV signature
USF2,progressor_vs_controller_pepstim_up,HIV signature
FCGBP,progressor_vs_controller_pepstim_up,HIV signature
CD274,progressor_vs_controller_pepstim_up,HIV signature
C1orf162,progressor_vs_controller_pepstim_up,HIV signature
CHD9,progressor_vs_controller_pepstim_up,HIV signature
FGF9,progressor_vs_controller_pepstim_up,HIV signature
APOL2,progressor_vs_controller_pepstim_up,HIV signature
PIK3AP1,progressor_vs_controller_pepstim_up,HIV signature
LOC202134,progressor_vs_controller_pepstim_up,HIV signature
LOC727909,progressor_vs_controller_pepstim_up,HIV signature
AMY2B,progressor_vs_controller_pepstim_up,HIV signature
SKI,progressor_vs_controller_pepstim_up,HIV signature
DHX32,progressor_vs_controller_pepstim_up,HIV signature
KBTBD11,progressor_vs_controller_pepstim_up,HIV signature
MGC39372,progressor_vs_controller_pepstim_up,HIV signature
CD83,progressor_vs_controller_pepstim_up,HIV signature
GINS2,controller_DEG_pepstim_up,HIV signature
PTTG3P,controller_DEG_pepstim_up,HIV signature
CENPF,controller_DEG_pepstim_up,HIV signature
SNORD43,controller_DEG_pepstim_up,HIV signature
PSMA5,controller_DEG_pepstim_up,HIV signature
NUSAP1,controller_DEG_pepstim_up,HIV signature
FAM54A,controller_DEG_pepstim_up,HIV signature
MND1,controller_DEG_pepstim_up,HIV signature
FABP5,controller_DEG_pepstim_up,HIV signature
CCNA2,controller_DEG_pepstim_up,HIV signature
LOC728564,controller_DEG_pepstim_up,HIV signature
SLBP,controller_DEG_pepstim_up,HIV signature
CCDC34,controller_DEG_pepstim_up,HIV signature
LOC644745,controller_DEG_pepstim_up,HIV signature
CDCA5,controller_DEG_pepstim_up,HIV signature
FABP5,controller_DEG_pepstim_up,HIV signature
ENY2,controller_DEG_pepstim_up,HIV signature
CCNB2,controller_DEG_pepstim_up,HIV signature
HMGB2,controller_DEG_pepstim_up,HIV signature
FABP5L2,controller_DEG_pepstim_up,HIV signature
CENPE,controller_DEG_pepstim_up,HIV signature
DIAPH3,controller_DEG_pepstim_up,HIV signature
DLGAP5,controller_DEG_pepstim_up,HIV signature
DIAPH3,controller_DEG_pepstim_up,HIV signature
NCAPH,controller_DEG_pepstim_up,HIV signature
MCM3,controller_DEG_pepstim_up,HIV signature
RAN,controller_DEG_pepstim_up,HIV signature
TOP2A,controller_DEG_pepstim_up,HIV signature
RPA3,controller_DEG_pepstim_up,HIV signature
CHEK1,controller_DEG_pepstim_up,HIV signature
MCM2,controller_DEG_pepstim_up,HIV signature
RRM1,controller_DEG_pepstim_up,HIV signature
PPA1,controller_DEG_pepstim_up,HIV signature
C6orf173,controller_DEG_pepstim_up,HIV signature
C12orf48,controller_DEG_pepstim_up,HIV signature
GSTO1,controller_DEG_pepstim_up,HIV signature
KIAA0101,controller_DEG_pepstim_up,HIV signature
STMN1,controller_DEG_pepstim_up,HIV signature
LOC440063,controller_DEG_pepstim_up,HIV signature
FANCG,controller_DEG_pepstim_up,HIV signature
COX5A,controller_DEG_pepstim_up,HIV signature
BUB1B,controller_DEG_pepstim_up,HIV signature
C6orf153,controller_DEG_pepstim_up,HIV signature
RBBP8,controller_DEG_pepstim_up,HIV signature
RRM2,controller_DEG_pepstim_up,HIV signature
HSPD1,controller_DEG_pepstim_up,HIV signature
MCM4,controller_DEG_pepstim_up,HIV signature
TUBA3D,controller_DEG_pepstim_up,HIV signature
POLA2,controller_DEG_pepstim_up,HIV signature
PSMG1,controller_DEG_pepstim_up,HIV signature
WDR51A,controller_DEG_pepstim_up,HIV signature
YWHAH,controller_DEG_pepstim_up,HIV signature
SNORA61,controller_DEG_pepstim_up,HIV signature
WDR12,controller_DEG_pepstim_up,HIV signature
PCNA,controller_DEG_pepstim_up,HIV signature
HNRNPAB,controller_DEG_pepstim_up,HIV signature
CDC25A,controller_DEG_pepstim_up,HIV signature
TYMS,controller_DEG_pepstim_up,HIV signature
ITM2A,controller_DEG_pepstim_up,HIV signature
CEP55,controller_DEG_pepstim_up,HIV signature
SKA1,controller_DEG_pepstim_up,HIV signature
UNG,controller_DEG_pepstim_up,HIV signature
PTTG1,controller_DEG_pepstim_up,HIV signature
NCAPG,controller_DEG_pepstim_up,HIV signature
APOBEC3H,controller_DEG_pepstim_up,HIV signature
FABP5L2,controller_DEG_pepstim_up,HIV signature
ATP5J,controller_DEG_pepstim_up,HIV signature
RFC5,controller_DEG_pepstim_up,HIV signature
CENPN,controller_DEG_pepstim_up,HIV signature
HIST1H4C,controller_DEG_pepstim_up,HIV signature
LOC345041,controller_DEG_pepstim_up,HIV signature
SNRPF,controller_DEG_pepstim_up,HIV signature
TXN,controller_DEG_pepstim_up,HIV signature
SLC25A5,controller_DEG_pepstim_up,HIV signature
WIBG,controller_DEG_pepstim_up,HIV signature
CDK6,controller_DEG_pepstim_up,HIV signature
DNAJC9,controller_DEG_pepstim_up,HIV signature
AURKA,controller_DEG_pepstim_up,HIV signature
AURKA,controller_DEG_pepstim_up,HIV signature
GGCT,controller_DEG_pepstim_up,HIV signature
AURKB,controller_DEG_pepstim_up,HIV signature
RACGAP1,controller_DEG_pepstim_up,HIV signature
CDC45L,controller_DEG_pepstim_up,HIV signature
TUBA1B,controller_DEG_pepstim_up,HIV signature
TFDP1,controller_DEG_pepstim_up,HIV signature
NUSAP1,controller_DEG_pepstim_up,HIV signature
HIBCH,controller_DEG_pepstim_up,HIV signature
DUT,controller_DEG_pepstim_up,HIV signature
MCM6,controller_DEG_pepstim_up,HIV signature
RPS24,controller_DEG_pepstim_up,HIV signature
CDC20,controller_DEG_pepstim_up,HIV signature
RFC4,controller_DEG_pepstim_up,HIV signature
C1QBP,controller_DEG_pepstim_up,HIV signature
ASPM,controller_DEG_pepstim_up,HIV signature
SAE1,controller_DEG_pepstim_up,HIV signature
ATP5H,controller_DEG_pepstim_up,HIV signature
CDCA7,controller_DEG_pepstim_up,HIV signature
HNRNPAB,controller_DEG_pepstim_up,HIV signature
STAMBP,controller_DEG_pepstim_up,HIV signature
TIMELESS,controller_DEG_pepstim_up,HIV signature
CKAP2L,controller_DEG_pepstim_up,HIV signature
CKS2,controller_DEG_pepstim_up,HIV signature
CDKN3,controller_DEG_pepstim_up,HIV signature
HMGB2,controller_DEG_pepstim_up,HIV signature
NME1,controller_DEG_pepstim_up,HIV signature
LOC729816,controller_DEG_pepstim_up,HIV signature
APTX,controller_DEG_pepstim_up,HIV signature
STARD7,controller_DEG_pepstim_up,HIV signature
HSPD1,controller_DEG_pepstim_up,HIV signature
SEC11C,controller_DEG_pepstim_up,HIV signature
ATP5J,controller_DEG_pepstim_up,HIV signature
GOT2,controller_DEG_pepstim_up,HIV signature
NDUFB6,controller_DEG_pepstim_up,HIV signature
DUT,controller_DEG_pepstim_up,HIV signature
TFDP1,controller_DEG_pepstim_up,HIV signature
CCNF,controller_DEG_pepstim_up,HIV signature
TUBA1C,controller_DEG_pepstim_up,HIV signature
RANBP1,controller_DEG_pepstim_up,HIV signature
CD226,controller_DEG_pepstim_up,HIV signature
HNRNPAB,controller_DEG_pepstim_up,HIV signature
MLF1IP,controller_DEG_pepstim_up,HIV signature
HIST1H2BM,controller_DEG_pepstim_up,HIV signature
TAF15,controller_DEG_pepstim_up,HIV signature
DCTPP1,controller_DEG_pepstim_up,HIV signature
MCM7,controller_DEG_pepstim_up,HIV signature
PMVK,controller_DEG_pepstim_up,HIV signature
H2AFZ,controller_DEG_pepstim_up,HIV signature
SNRPF,controller_DEG_pepstim_up,HIV signature
MRPL50,controller_DEG_pepstim_up,HIV signature
TXN,controller_DEG_pepstim_up,HIV signature
KIF4A,controller_DEG_pepstim_up,HIV signature
FKBP1A,controller_DEG_pepstim_up,HIV signature
BCAT1,controller_DEG_pepstim_up,HIV signature
RNU11,controller_DEG_pepstim_up,HIV signature
MYB,controller_DEG_pepstim_up,HIV signature
SNORA57,controller_DEG_pepstim_up,HIV signature
SNORD104,controller_DEG_pepstim_up,HIV signature
ARPC5,controller_DEG_pepstim_up,HIV signature
ARHGAP11A,controller_DEG_pepstim_up,HIV signature
VRK1,controller_DEG_pepstim_up,HIV signature
RNU1-3,controller_DEG_pepstim_up,HIV signature
GLRX5,controller_DEG_pepstim_up,HIV signature
ACAT1,controller_DEG_pepstim_up,HIV signature
SNORD46,controller_DEG_pepstim_up,HIV signature
PFAS,controller_DEG_pepstim_up,HIV signature
HIST1H2AI,controller_DEG_pepstim_up,HIV signature
RNU1G2,controller_DEG_pepstim_up,HIV signature
GZMB,controller_DEG_pepstim_up,HIV signature
CCT8,controller_DEG_pepstim_up,HIV signature
RPS27L,controller_DEG_pepstim_up,HIV signature
CKS1B,controller_DEG_pepstim_up,HIV signature
VDAC1,controller_DEG_pepstim_up,HIV signature
SLC7A1,controller_DEG_pepstim_up,HIV signature
GZMA,controller_DEG_pepstim_up,HIV signature
NDUFA12,controller_DEG_pepstim_up,HIV signature
IL32,controller_DEG_pepstim_up,HIV signature
SAC3D1,controller_DEG_pepstim_up,HIV signature
CCND2,controller_DEG_pepstim_up,HIV signature
SMC2,controller_DEG_pepstim_up,HIV signature
CMAS,controller_DEG_pepstim_up,HIV signature
RAC1,controller_DEG_pepstim_up,HIV signature
CBX5,controller_DEG_pepstim_up,HIV signature
RNU1-5,controller_DEG_pepstim_up,HIV signature
RNU1A3,controller_DEG_pepstim_up,HIV signature
POLA1,controller_DEG_pepstim_up,HIV signature
TUBB,controller_DEG_pepstim_up,HIV signature
HSP90AA1,controller_DEG_pepstim_up,HIV signature
NDUFS5,controller_DEG_pepstim_up,HIV signature
C14orf2,controller_DEG_pepstim_up,HIV signature
FKBP1A,controller_DEG_pepstim_up,HIV signature
TMEM14A,controller_DEG_pepstim_up,HIV signature
CCT6A,controller_DEG_pepstim_up,HIV signature
TMEM106C,controller_DEG_pepstim_up,HIV signature
PA2G4,controller_DEG_pepstim_up,HIV signature
MRPL51,controller_DEG_pepstim_up,HIV signature
NDUFB3,controller_DEG_pepstim_up,HIV signature
ITM2A,controller_DEG_pepstim_up,HIV signature
PLK4,controller_DEG_pepstim_up,HIV signature
CSTF3,controller_DEG_pepstim_up,HIV signature
AMY1C,controller_DEG_pepstim_up,HIV signature
PAICS,controller_DEG_pepstim_up,HIV signature
EED,controller_DEG_pepstim_up,HIV signature
NPM3,controller_DEG_pepstim_up,HIV signature
MCM3,controller_DEG_pepstim_up,HIV signature
UQCRQ,controller_DEG_pepstim_up,HIV signature
ANAPC11,controller_DEG_pepstim_up,HIV signature
C20orf52,controller_DEG_pepstim_up,HIV signature
APTX,controller_DEG_pepstim_up,HIV signature
CSTF3,controller_DEG_pepstim_up,HIV signature
LOC646572,controller_DEG_pepstim_up,HIV signature
IL32,controller_DEG_pepstim_up,HIV signature
BOLA3,controller_DEG_pepstim_up,HIV signature
TCTEX1D2,controller_DEG_pepstim_up,HIV signature
CARHSP1,controller_DEG_pepstim_up,HIV signature
PRF1,controller_DEG_pepstim_up,HIV signature
IFNG,controller_DEG_pepstim_up,HIV signature
C14orf156,controller_DEG_pepstim_up,HIV signature
NOP10,controller_DEG_pepstim_up,HIV signature
EXOSC3,controller_DEG_pepstim_up,HIV signature
DBI,controller_DEG_pepstim_up,HIV signature
HIST1H2AC,controller_DEG_pepstim_up,HIV signature
FEN1,controller_DEG_pepstim_up,HIV signature
NDUFAB1,controller_DEG_pepstim_up,HIV signature
CHCHD3,controller_DEG_pepstim_up,HIV signature
DCAF7,controller_DEG_pepstim_up,HIV signature
RAD51C,controller_DEG_pepstim_up,HIV signature
CTLA4,controller_DEG_pepstim_up,HIV signature
MDH2,controller_DEG_pepstim_up,HIV signature
GART,controller_DEG_pepstim_up,HIV signature
BOLA3,controller_DEG_pepstim_up,HIV signature
CKS1B,controller_DEG_pepstim_up,HIV signature
TUBB,controller_DEG_pepstim_up,HIV signature
CHMP5,controller_DEG_pepstim_up,HIV signature
ATIC,controller_DEG_pepstim_up,HIV signature
LDLR,controller_DEG_pepstim_up,HIV signature
ICT1,controller_DEG_pepstim_up,HIV signature
MTHFD2,controller_DEG_pepstim_up,HIV signature
ATP5L,controller_DEG_pepstim_up,HIV signature
MRPS12,controller_DEG_pepstim_up,HIV signature
ZBED2,controller_DEG_pepstim_up,HIV signature
CYB5B,controller_DEG_pepstim_up,HIV signature
HIST1H4H,controller_DEG_pepstim_up,HIV signature
TRIB1,controller_DEG_pepstim_up,HIV signature
PSAT1,controller_DEG_pepstim_up,HIV signature
HAVCR2,controller_DEG_pepstim_up,HIV signature
LDHA,controller_DEG_pepstim_up,HIV signature
HIST1H4E,controller_DEG_pepstim_up,HIV signature
ARHGAP11B,controller_DEG_pepstim_up,HIV signature
C6orf130,controller_DEG_pepstim_up,HIV signature
PRKAR1A,controller_DEG_pepstim_up,HIV signature
DNMT1,controller_DEG_pepstim_up,HIV signature
VCAM1,controller_DEG_pepstim_up,HIV signature
E2F2,controller_DEG_pepstim_up,HIV signature
NAP1L1,controller_DEG_pepstim_up,HIV signature
TMCO1,controller_DEG_pepstim_up,HIV signature
PRDM1,controller_DEG_pepstim_up,HIV signature
HIST1H2BF,controller_DEG_pepstim_up,HIV signature
OTUD1,controller_DEG_pepstim_down,HIV signature
KLF2,controller_DEG_pepstim_down,HIV signature
IGLL1,controller_DEG_pepstim_down,HIV signature
CDKN1A,controller_DEG_pepstim_down,HIV signature
TNFRSF13B,controller_DEG_pepstim_down,HIV signature
CD83,controller_DEG_pepstim_down,HIV signature
RASGRP2,controller_DEG_pepstim_down,HIV signature
MXD4,controller_DEG_pepstim_down,HIV signature
GABBR1,controller_DEG_pepstim_down,HIV signature
IRF8,controller_DEG_pepstim_down,HIV signature
RASGRP2,controller_DEG_pepstim_down,HIV signature
BASP1,controller_DEG_pepstim_down,HIV signature
FCRL1,controller_DEG_pepstim_down,HIV signature
LOC441081,controller_DEG_pepstim_down,HIV signature
MIDN,controller_DEG_pepstim_down,HIV signature
FCRL2,controller_DEG_pepstim_down,HIV signature
CD83,controller_DEG_pepstim_down,HIV signature
OTUD1,controller_DEG_pepstim_down,HIV signature
C10orf54,controller_DEG_pepstim_down,HIV signature
LOC151162,controller_DEG_pepstim_down,HIV signature
ZNF197,controller_DEG_pepstim_down,HIV signature
CD79A,controller_DEG_pepstim_down,HIV signature
U1SNRNPBP,controller_DEG_pepstim_down,HIV signature
LTB,controller_DEG_pepstim_down,HIV signature
BTN3A1,controller_DEG_pepstim_down,HIV signature
HLA-DMB,controller_DEG_pepstim_down,HIV signature
GADD45B,controller_DEG_pepstim_down,HIV signature
MUC4,controller_DEG_pepstim_down,HIV signature
ZFP36,controller_DEG_pepstim_down,HIV signature
CTSD,controller_DEG_pepstim_down,HIV signature
C4orf34,controller_DEG_pepstim_down,HIV signature
CHI3L1,controller_DEG_pepstim_down,HIV signature
PHF1,controller_DEG_pepstim_down,HIV signature
TP53I11,controller_DEG_pepstim_down,HIV signature
LOC727820,controller_DEG_pepstim_down,HIV signature
NPC2,controller_DEG_pepstim_down,HIV signature
SIK1,controller_DEG_pepstim_down,HIV signature
SPINT2,controller_DEG_pepstim_down,HIV signature
EGR3,controller_DEG_pepstim_down,HIV signature
NR1D2,controller_DEG_pepstim_down,HIV signature
BMF,controller_DEG_pepstim_down,HIV signature
HRH3,controller_DEG_pepstim_down,HIV signature
UCA1,controller_DEG_pepstim_down,HIV signature
PSG10,controller_DEG_pepstim_down,HIV signature
SERPINB2,controller_DEG_pepstim_down,HIV signature
GOLGA8F,controller_DEG_pepstim_down,HIV signature
IL8,controller_DEG_pepstim_down,HIV signature
CTSL1,controller_DEG_pepstim_down,HIV signature
POU2AF1,controller_DEG_pepstim_down,HIV signature
NR4A3,progressor_DEG_pepstim_up,HIV signature
TACC1,progressor_DEG_pepstim_up,HIV signature
TRIB1,progressor_DEG_pepstim_up,HIV signature
LYN,progressor_DEG_pepstim_up,HIV signature
TFG,progressor_DEG_pepstim_up,HIV signature
USP6NL,progressor_DEG_pepstim_up,HIV signature
ZBED2,progressor_DEG_pepstim_up,HIV signature
SRC,progressor_DEG_pepstim_up,HIV signature
CDKN3,progressor_DEG_pepstim_up,HIV signature
ATOX1,progressor_DEG_pepstim_up,HIV signature
HIST1H2BF,progressor_DEG_pepstim_up,HIV signature
SLC7A5,progressor_DEG_pepstim_up,HIV signature
CTNNBL1,progressor_DEG_pepstim_up,HIV signature
SLC3A2,progressor_DEG_pepstim_up,HIV signature
ZCCHC9,progressor_DEG_pepstim_up,HIV signature
NUP98,progressor_DEG_pepstim_up,HIV signature
ATP5EP2,progressor_DEG_pepstim_up,HIV signature
SNORA62,progressor_DEG_pepstim_up,HIV signature
CD274,progressor_DEG_pepstim_up,HIV signature
POLR1C,progressor_DEG_pepstim_up,HIV signature
CRIM1,progressor_DEG_pepstim_up,HIV signature
CHD9,progressor_DEG_pepstim_up,HIV signature
COMMD7,progressor_DEG_pepstim_up,HIV signature
NFKBIE,progressor_DEG_pepstim_up,HIV signature
MRPL50,progressor_DEG_pepstim_up,HIV signature
CCNY,progressor_DEG_pepstim_up,HIV signature
ZMYND8,progressor_DEG_pepstim_up,HIV signature
TYMS,progressor_DEG_pepstim_up,HIV signature
LOC643446,progressor_DEG_pepstim_up,HIV signature
PQLC1,progressor_DEG_pepstim_up,HIV signature
CRCP,progressor_DEG_pepstim_up,HIV signature
ITPR2,progressor_DEG_pepstim_up,HIV signature
ZXDC,progressor_DEG_pepstim_up,HIV signature
BACH1,progressor_DEG_pepstim_up,HIV signature
NAMPT,progressor_DEG_pepstim_up,HIV signature
VPS37C,progressor_DEG_pepstim_up,HIV signature
ADK,progressor_DEG_pepstim_up,HIV signature
CDC25A,progressor_DEG_pepstim_up,HIV signature
SEC13,progressor_DEG_pepstim_up,HIV signature
CD83,progressor_DEG_pepstim_up,HIV signature
TXNL1,progressor_DEG_pepstim_up,HIV signature
C19orf50,progressor_DEG_pepstim_up,HIV signature
BIRC3,progressor_DEG_pepstim_up,HIV signature
DBI,progressor_DEG_pepstim_up,HIV signature
CACYBP,progressor_DEG_pepstim_up,HIV signature
MTP18,progressor_DEG_pepstim_up,HIV signature
WARS,progressor_DEG_pepstim_up,HIV signature
ATP2B1,progressor_DEG_pepstim_up,HIV signature
RPE,progressor_DEG_pepstim_up,HIV signature
ZRANB2,progressor_DEG_pepstim_up,HIV signature
MGC39372,progressor_DEG_pepstim_up,HIV signature
RB1,progressor_DEG_pepstim_up,HIV signature
TCF19,progressor_DEG_pepstim_up,HIV signature
RPS24,progressor_DEG_pepstim_up,HIV signature
KIAA0831,progressor_DEG_pepstim_up,HIV signature
USF2,progressor_DEG_pepstim_up,HIV signature
SNRPC,progressor_DEG_pepstim_up,HIV signature
PDCL3,progressor_DEG_pepstim_up,HIV signature
CTNNB1,progressor_DEG_pepstim_up,HIV signature
ETNK1,progressor_DEG_pepstim_up,HIV signature
EIF2C3,progressor_DEG_pepstim_up,HIV signature
RAB11FIP1,progressor_DEG_pepstim_up,HIV signature
TIMELESS,progressor_DEG_pepstim_up,HIV signature
HIST1H2BM,progressor_DEG_pepstim_up,HIV signature
SNORA27,progressor_DEG_pepstim_up,HIV signature
IFNG,progressor_DEG_pepstim_up,HIV signature
PRKAR1A,progressor_DEG_pepstim_up,HIV signature
TADA2B,progressor_DEG_pepstim_up,HIV signature
INTS9,progressor_DEG_pepstim_up,HIV signature
TMEM97,progressor_DEG_pepstim_up,HIV signature
STAG1,progressor_DEG_pepstim_up,HIV signature
PCK2,progressor_DEG_pepstim_up,HIV signature
ZBTB10,progressor_DEG_pepstim_up,HIV signature
HIST1H2AJ,progressor_DEG_pepstim_up,HIV signature
PPP1R15A,progressor_DEG_pepstim_up,HIV signature
SKA2,progressor_DEG_pepstim_up,HIV signature
RRM2,progressor_DEG_pepstim_up,HIV signature
MYO1B,progressor_DEG_pepstim_up,HIV signature
POLR1C,progressor_DEG_pepstim_up,HIV signature
USP17,progressor_DEG_pepstim_up,HIV signature
FABP5L3,progressor_DEG_pepstim_up,HIV signature
C6orf108,progressor_DEG_pepstim_up,HIV signature
CDCA5,progressor_DEG_pepstim_up,HIV signature
ZNF770,progressor_DEG_pepstim_up,HIV signature
DUSP5,progressor_DEG_pepstim_up,HIV signature
TRPM2,progressor_DEG_pepstim_up,HIV signature
H2AFY,progressor_DEG_pepstim_up,HIV signature
MT1JP,progressor_DEG_pepstim_down,HIV signature
CBY1,progressor_DEG_pepstim_down,HIV signature
SERPINA10,progressor_DEG_pepstim_down,HIV signature
TPM2,progressor_DEG_pepstim_down,HIV signature
CLEC2D,progressor_DEG_pepstim_down,HIV signature
GSTM4,progressor_DEG_pepstim_down,HIV signature
FAM24B,progressor_DEG_pepstim_down,HIV signature
LCNL1,progressor_DEG_pepstim_down,HIV signature
VMAC,progressor_DEG_pepstim_down,HIV signature
CAMK1G,progressor_DEG_pepstim_down,HIV signature
KIAA1109,AM02,doering module
KIAA1033,AM02,doering module
ABCA3,AM02,doering module
ACYP1,AM02,doering module
AKAP11,AM02,doering module
AKT3,AM02,doering module
ALCAM,AM02,doering module
ANXA2,AM02,doering module
ANXA4,AM02,doering module
APOBEC2,AM02,doering module
APPL2,AM02,doering module
ARSB,AM02,doering module
ASH1L,AM02,doering module
ATF7IP,AM02,doering module
ATP8A1,AM02,doering module
ATR,AM02,doering module
ATXN1,AM02,doering module
C5orf51,AM02,doering module
BAZ2B,AM02,doering module
BCL2,AM02,doering module
BPTF,AM02,doering module
CALCRL,AM02,doering module
CA5B,AM02,doering module
CASD1,AM02,doering module
CCND2,AM02,doering module
CCR7,AM02,doering module
CD55,AM02,doering module
CD68,AM02,doering module
CEP68,AM02,doering module
CHD6,AM02,doering module
CKS2,AM02,doering module
CMKLR1,AM02,doering module
CRIP1,AM02,doering module
DCAF17,AM02,doering module
DCAF6,AM02,doering module
DGKA,AM02,doering module
DIRC2,AM02,doering module
DOPEY1,AM02,doering module
DZIP1,AM02,doering module
EXT1,AM02,doering module
F2RL1,AM02,doering module
FAM102A,AM02,doering module
FAM129A,AM02,doering module
FAM169B,AM02,doering module
FAM46A,AM02,doering module
FBXL20,AM02,doering module
FCHSD2,AM02,doering module
FGL2,AM02,doering module
FOXO1,AM02,doering module
FOXP1,AM02,doering module
FRYL,AM02,doering module
GFPT1,AM02,doering module
GRAP2,AM02,doering module
GZMB,AM02,doering module
GZMK,AM02,doering module
HIP1,AM02,doering module
HIST1H1E,AM02,doering module
HIST1H2BI,AM02,doering module
HMGB2,AM02,doering module
IKBKE,AM02,doering module
IL10RA,AM02,doering module
INPP4B,AM02,doering module
INSR,AM02,doering module
ITGAM,AM02,doering module
ITGB3BP,AM02,doering module
JAKMIP1,AM02,doering module
KBTBD11,AM02,doering module
KCNRG,AM02,doering module
KIF1B,AM02,doering module
LAG3,AM02,doering module
LAMC1,AM02,doering module
LATS1,AM02,doering module
LEF1,AM02,doering module
LGALS1,AM02,doering module
LGALS3,AM02,doering module
LXN,AM02,doering module
MACF1,AM02,doering module
MARCKSL1,AM02,doering module
MARVELD2,AM02,doering module
MDN1,AM02,doering module
MGA,AM02,doering module
MGST2,AM02,doering module
MPP5,AM02,doering module
MRPL20,AM02,doering module
MYADM,AM02,doering module
MYCBP2,AM02,doering module
MYO1F,AM02,doering module
MYO9A,AM02,doering module
NBEAL1,AM02,doering module
NCL,AM02,doering module
NLK,AM02,doering module
OSBPL3,AM02,doering module
PACSIN1,AM02,doering module
PARP6,AM02,doering module
PCMTD1,AM02,doering module
PCMTD2,AM02,doering module
PDLIM1,AM02,doering module
PECAM1,AM02,doering module
PELI1,AM02,doering module
PFKFB2,AM02,doering module
PIGP,AM02,doering module
PIK3C2A,AM02,doering module
PIK3IP1,AM02,doering module
PJA2,AM02,doering module
PLCB2,AM02,doering module
PLEKHA1,AM02,doering module
PRDX1,AM02,doering module
PTMS,AM02,doering module
RAPGEF6,AM02,doering module
RASGRP1,AM02,doering module
RASSF2,AM02,doering module
RBBP6,AM02,doering module
REEP5,AM02,doering module
REV3L,AM02,doering module
RGS10,AM02,doering module
RHOH,AM02,doering module
RIC8B,AM02,doering module
RNF167,AM02,doering module
RUFY2,AM02,doering module
S100A10,AM02,doering module
S1PR1,AM02,doering module
SATB1,AM02,doering module
SCAI,AM02,doering module
SCML4,AM02,doering module
SESN1,AM02,doering module
SETD7,AM02,doering module
SH3BP5,AM02,doering module
SLC12A6,AM02,doering module
SLC28A2,AM02,doering module
SMARCA2,AM02,doering module
SMG1,AM02,doering module
SMURF2,AM02,doering module
SNF8,AM02,doering module
SNRK,AM02,doering module
SPATA6,AM02,doering module
SSBP2,AM02,doering module
SSH2,AM02,doering module
STRBP,AM02,doering module
SWAP70,AM02,doering module
SYPL1,AM02,doering module
TAGAP,AM02,doering module
TASP1,AM02,doering module
TCF7,AM02,doering module
THADA,AM02,doering module
TIMP2,AM02,doering module
TMEM163,AM02,doering module
